quote_id;Insurer_A_price;Insurer_B_price;Insurer_C_price;Insurer_D_price;Insurer_E_price;Insurer_F_price;Insurer_G_price;Insurer_H_price;Insurer_I_price;Insurer_J_price;Insurer_K_price
541354;33.8;49.68;49.81;45.16;54.88;50.02;49.46;44.93;60.61;51.0;61.0
541355;256.43;299.28;278.18;241.25;353.64;234.68;163.67;290.96;236.91;502.96;279.14
541356;37.13;35.15;38.15;39.07;52.02;40.23;32.78;36.65;48.87;36.0;47.12
541357;62.92;73.94;70.64;79.08;101.56;79.16;73.94;78.12;70.38;125.31;107.87
541358;108.52;196.65;144.66;168.23;276.43;146.54;191.06;294.42;151.55;211.56;196.35
541359;48.8;56.62;58.32;55.89;73.39;59.68;64.52;64.35;75.42;49.93;52.13
541360;24.1;29.09;33.77;38.98;35.54;28.48;29.24;58.23;55.15;42.03;48.51
541361;48.94;53.76;70.46;57.65;65.58;57.17;40.13;44.16;100.01;65.35;77.76
541362;37.13;35.15;38.15;39.07;52.02;40.23;32.78;36.65;48.87;36.0;47.12
541363;87.86;108.33;124.9;96.09;129.92;95.55;123.26;182.28;106.71;125.36;101.86
541364;77.43;101.96;90.99;105.43;115.88;81.61;67.14;54.57;158.94;178.34;181.73
541365;171.23;182.11;217.1;194.95;226.03;181.2;202.96;339.56;190.14;226.22;210.65
541366;32.11;27.8;26.64;26.6;47.08;30.28;26.5;3.01;45.24;40.95;33.85
541367;169.43;196.14;220.48;191.92;231.17;182.46;204.57;338.82;188.95;223.55;212.35
541368;48.8;56.62;58.32;55.89;73.39;59.68;64.52;64.35;75.42;49.93;52.13
541369;31.19;43.08;34.97;42.12;38.93;37.39;53.83;61.53;53.0;47.37;71.43
541370;89.14;94.96;129.48;80.73;81.82;90.03;72.54;124.85;70.02;87.36;78.71
541371;198.07;271.11;245.22;252.21;190.07;154.26;166.77;238.92;282.93;271.62;193.68
541372;83.97;86.87;117.76;108.18;128.93;93.21;88.9;124.81;115.41;148.55;157.68
541373;97.39;109.68;124.8;112.31;119.76;98.43;93.24;181.36;301.86;146.22;207.99
541374;290.02;360.93;458.87;407.61;657.46;327.26;226.33;246.48;421.89;422.9;377.39
541375;71.59;84.9;66.37;82.65;81.16;73.91;91.65;117.0;100.09;92.59;110.82
541376;66.22;84.13;89.1;94.04;72.8;79.43;80.92;89.14;78.38;84.71;132.21
541377;273.74;324.14;292.3;259.31;477.38;267.77;176.08;327.67;265.1;640.45;344.54
541378;112.83;132.92;149.32;109.13;125.77;113.05;99.11;112.03;111.0;154.94;116.92
541379;130.34;171.68;198.35;147.45;188.51;155.49;149.56;214.84;176.84;257.92;221.03
541380;149.44;165.13;172.62;151.19;188.31;177.11;141.66;167.23;180.52;195.01;178.29
541381;125.53;170.74;123.82;156.62;195.51;110.32;106.92;142.0;192.16;174.78;173.52
541382;41.96;55.9;60.43;61.92;29.75;54.52;48.53;12.35;57.08;78.59;72.01
541383;130.34;171.68;198.35;147.45;188.51;155.49;149.56;214.84;176.84;257.92;221.03
541384;151.72;215.76;192.7;200.72;329.36;137.23;133.2;119.32;173.98;250.99;232.17
541385;29.16;40.1;39.97;46.86;49.15;35.7;32.0;-9.05;68.12;69.84;72.72
541386;56.55;58.67;75.01;64.03;99.59;62.88;46.15;18.11;124.29;59.36;102.99
541387;139.71;165.86;137.35;164.93;155.65;106.14;127.93;196.89;121.41;367.91;172.31
541388;17.0;21.17;22.76;23.6;27.21;23.8;22.67;-22.68;28.27;32.72;30.9
541389;85.54;79.68;97.98;94.69;115.42;89.59;73.0;87.68;96.52;114.06;142.46
541390;74.85;90.07;100.65;104.9;171.42;115.37;88.3;154.7;109.5;98.96;110.95
541391;90.37;117.39;122.45;93.06;101.97;84.85;77.08;135.47;103.91;110.0;94.1
541392;150.63;188.74;192.73;174.38;192.78;148.17;133.31;192.33;228.44;255.09;184.62
541393;41.01;55.61;51.28;67.11;9.96;56.86;47.86;68.91;53.33;49.97;68.55
541394;130.34;171.68;198.35;147.45;188.51;155.49;149.56;214.84;176.84;257.92;221.03
541395;92.69;116.65;100.82;102.4;150.02;83.15;106.07;168.72;93.83;143.87;112.53
541396;37.81;34.58;26.35;27.65;28.33;28.01;26.54;36.58;31.64;35.91;32.04
541397;151.08;188.07;193.01;170.84;190.23;146.28;131.34;192.33;225.1;253.56;183.46
541398;51.1;59.47;55.33;66.84;66.8;63.74;60.36;70.62;56.7;66.16;78.78
541399;112.83;132.92;149.32;109.13;125.77;113.05;99.11;112.03;111.0;154.94;116.92
541400;57.93;75.74;65.24;68.39;93.0;78.05;84.68;71.07;94.77;71.53;62.62
541401;68.29;85.71;70.2;72.53;76.0;63.06;82.77;155.83;80.59;76.35;104.55
541402;49.91;66.83;71.33;59.97;106.69;66.27;77.36;156.8;65.16;65.82;65.45
541403;52.01;78.75;61.31;64.19;104.33;59.26;63.27;66.29;102.85;93.94;112.1
541404;72.07;62.81;90.58;57.33;127.46;64.46;76.61;150.23;87.35;72.11;70.36
541405;106.13;135.75;156.41;103.86;126.15;107.36;93.05;145.3;97.66;99.25;100.28
541406;72.07;62.81;90.58;57.33;127.46;64.46;76.61;150.23;87.35;72.11;70.36
541407;29.07;37.21;36.82;40.93;60.31;36.84;31.04;25.92;59.89;48.18;45.53
541408;110.75;120.87;115.64;132.3;164.17;116.88;127.27;194.56;184.27;166.97;189.86
541409;60.49;71.69;60.32;72.77;59.45;72.88;82.56;74.21;90.6;69.49;81.76
541410;143.66;208.23;179.94;126.11;195.25;110.1;145.85;174.81;116.32;343.07;280.69
541411;97.77;111.67;105.59;123.39;140.81;107.7;112.99;149.42;179.29;156.72;174.58
541412;64.89;79.4;72.01;98.83;64.77;74.33;87.45;157.8;69.0;94.33;85.15
541413;74.85;90.07;100.65;104.9;171.42;115.37;88.3;154.7;109.5;98.96;110.95
541414;38.61;47.5;51.63;49.86;17.78;45.87;39.51;27.57;50.59;58.04;64.26
541415;139.68;205.5;192.73;157.79;227.89;197.31;145.38;287.94;139.18;273.73;247.03
541416;90.01;102.48;133.35;99.54;129.65;102.28;91.1;125.07;96.1;96.99;98.2
541417;19.92;25.09;23.97;23.41;34.01;22.02;19.8;19.62;39.79;36.89;27.9
541418;92.55;94.28;132.91;119.46;172.96;120.15;100.07;174.25;148.08;114.26;99.55
541419;121.99;205.39;145.6;185.18;170.93;118.97;171.27;193.45;188.77;147.57;151.75
541420;120.35;204.1;144.25;189.97;171.75;117.41;170.85;194.49;193.8;149.62;153.07
541421;57.77;87.55;70.27;73.36;92.29;67.73;79.57;63.69;100.0;71.76;94.54
541422;50.32;86.62;68.32;66.61;71.72;67.34;79.53;61.61;92.0;66.79;89.7
541423;92.55;94.28;132.91;119.46;172.96;120.15;100.07;174.25;148.08;114.26;99.55
541424;92.55;94.28;132.91;119.46;172.96;120.15;100.07;174.25;148.08;114.26;99.55
541425;53.14;58.25;79.79;65.24;77.11;65.72;48.72;60.54;136.1;75.89;95.41
541426;216.0;273.5;275.45;196.03;277.28;186.88;172.36;278.83;260.81;332.32;263.79
541427;64.89;79.4;72.01;98.83;64.77;74.33;87.45;157.8;69.0;94.33;85.15
541428;92.55;94.28;132.91;119.46;172.96;120.15;100.07;174.25;148.08;114.26;99.55
541429;13.21;24.96;20.48;18.23;34.05;16.9;17.53;-7.98;36.54;28.43;20.82
541430;123.14;124.63;142.01;131.29;302.13;124.76;129.55;283.13;240.34;148.15;189.6
541431;168.73;218.01;213.92;181.53;207.92;135.08;135.21;254.35;232.34;249.34;208.72
541432;81.87;130.94;115.34;129.94;156.8;83.01;77.47;92.49;110.15;215.4;159.13
541433;29.07;37.21;36.82;40.93;60.31;36.85;31.04;25.94;59.39;48.08;45.54
541434;58.8;64.97;85.73;71.92;81.63;68.75;54.84;83.61;176.09;85.24;111.2
541435;177.25;238.41;237.12;212.66;232.76;226.4;165.89;195.33;216.25;311.84;247.06
541436;119.44;123.3;140.71;125.5;300.61;123.34;128.33;284.01;231.71;141.85;179.74
541437;92.55;94.28;132.91;119.46;172.96;120.15;100.07;174.25;148.08;114.26;99.55
541438;133.78;203.86;148.99;195.3;162.13;113.57;125.53;159.21;237.11;192.19;177.65
541439;97.21;101.12;132.38;120.69;146.98;119.12;103.18;147.76;148.0;116.35;89.99
541440;35.03;41.07;45.08;40.65;58.28;44.44;35.9;32.09;50.65;45.35;44.92
541441;219.94;264.71;377.07;320.56;314.1;217.73;210.8;370.0;357.56;273.91;331.78
541442;132.98;200.61;149.72;191.47;157.62;115.36;124.69;151.42;239.73;189.02;177.99
541443;127.66;203.71;162.31;170.91;209.2;135.84;176.53;283.14;215.54;119.18;227.27
541444;119.44;123.3;140.7;125.3;300.61;123.35;128.34;287.88;231.47;142.31;179.93
541445;230.7;285.36;307.42;220.03;262.57;188.32;176.17;287.53;263.42;346.98;228.22
541446;182.32;276.66;185.89;244.76;238.15;189.7;228.72;265.97;192.79;237.53;216.28
541447;52.0;58.79;69.49;65.8;100.05;61.02;46.38;23.43;125.51;61.76;103.29
541448;169.78;288.13;238.95;249.46;342.56;283.7;202.46;127.04;203.45;332.71;294.0
541449;163.63;246.08;212.38;163.66;213.8;208.65;146.37;238.8;156.46;282.68;246.37
541450;62.4;89.13;86.6;81.13;109.16;70.37;72.01;84.27;146.33;100.1;112.3
541451;30.48;32.56;42.58;42.43;54.11;35.99;32.69;55.68;84.63;51.7;48.76
541452;80.56;95.65;79.23;105.72;113.36;82.56;104.66;117.65;139.33;146.14;114.29
541453;123.79;180.06;158.38;178.29;176.02;110.77;121.6;110.97;148.16;221.63;205.04
541454;290.02;360.93;458.87;407.61;657.46;327.26;226.33;246.48;421.89;422.9;377.39
541455;266.06;384.76;385.53;320.57;478.72;332.55;239.3;347.93;380.81;440.09;355.19
541456;124.25;178.69;157.02;176.79;177.3;109.06;120.39;113.57;143.79;218.48;203.38
541457;149.92;249.2;210.2;124.91;230.77;120.88;227.59;231.06;137.17;395.56;446.71
541458;107.03;153.04;138.95;165.87;147.46;101.73;106.75;111.66;131.92;185.73;170.66
541459;277.4;447.91;539.74;473.5;711.46;337.04;259.37;248.91;490.9;497.13;405.09
541460;42.92;45.78;55.67;50.49;57.94;46.83;33.29;34.38;48.44;49.09;45.56
541461;159.6;214.01;252.74;150.37;232.83;203.4;145.81;310.09;134.65;273.35;263.49
541462;77.82;90.6;108.23;91.53;112.58;87.84;83.97;72.48;106.81;160.34;118.5
541463;77.73;107.07;94.97;110.9;135.36;74.76;84.71;67.29;167.51;206.48;172.53
541464;73.7;107.71;86.41;92.71;62.71;80.8;70.22;78.31;100.6;76.93;79.31
541465;109.83;163.64;103.82;122.93;120.19;76.2;127.38;128.44;91.59;219.89;224.41
541466;78.9;102.86;84.4;99.36;66.89;82.06;70.23;77.35;100.23;78.81;108.08
541467;59.37;71.98;61.27;96.28;83.66;56.2;76.21;117.56;62.37;79.82;109.77
541468;124.18;161.87;168.46;109.8;200.55;97.43;112.18;183.14;104.64;117.48;130.25
541469;290.02;360.93;458.87;407.61;657.46;327.26;226.33;246.48;421.89;422.9;377.39
541470;94.46;111.45;88.67;116.24;126.48;90.5;113.75;153.94;146.95;157.17;168.26
541471;277.4;447.91;539.74;473.5;711.46;337.04;259.37;248.91;490.9;497.13;405.09
541472;67.17;80.64;98.48;87.17;114.17;82.41;78.92;60.06;94.99;152.63;113.46
541473;57.24;77.47;68.03;58.92;70.48;61.83;64.12;111.32;66.21;85.83;78.65
541474;43.61;62.77;50.88;49.23;68.02;54.68;48.42;55.52;55.58;68.66;68.02
541475;63.75;76.66;65.52;99.73;90.02;57.22;79.13;119.25;68.23;84.29;115.32
541476;80.56;95.65;79.23;105.72;113.36;82.56;104.66;117.65;139.33;146.14;114.29
541477;115.21;165.52;131.24;177.31;129.75;122.14;149.19;183.15;204.41;170.95;219.65
541478;212.61;259.21;296.05;172.02;248.94;161.97;144.59;272.61;224.79;291.87;215.16
541479;212.61;259.21;296.05;172.02;248.94;161.97;144.59;272.61;224.79;291.87;215.16
541480;277.4;447.91;539.74;473.5;711.46;337.04;259.37;248.91;490.9;497.13;405.09
541481;212.61;259.21;296.05;172.02;248.94;161.97;144.59;272.61;224.79;291.87;215.16
541482;80.45;88.05;109.46;99.53;102.86;89.96;81.31;187.4;100.41;103.6;104.31
541483;75.33;77.95;100.9;91.04;95.79;79.43;72.89;175.44;96.31;95.07;99.65
541484;61.37;91.07;74.41;92.13;110.64;68.42;75.72;51.69;154.61;144.57;153.33
541485;68.29;85.71;70.2;72.53;76.0;63.06;82.77;155.83;80.59;76.35;104.55
541486;146.94;203.84;180.68;197.9;168.08;131.25;127.17;216.99;225.44;194.94;201.91
541487;277.4;447.91;539.74;473.5;711.46;337.04;259.37;248.91;490.9;497.13;405.09
541488;54.98;74.48;65.48;57.02;64.09;59.71;61.42;110.15;64.13;82.45;75.87
541489;89.08;106.53;89.86;84.36;118.09;75.67;78.2;105.6;95.96;134.03;101.53
541490;56.25;80.74;66.66;58.21;96.34;66.01;69.79;140.05;70.4;99.41;90.04
541491;69.49;68.18;91.35;80.82;88.26;72.88;63.8;153.12;75.72;83.44;85.49
541492;266.24;199.43;360.05;169.65;316.81;158.26;119.25;212.91;180.66;277.76;197.25
541493;13.21;24.96;20.48;18.23;34.05;16.9;17.53;-7.98;36.54;28.43;20.82
541494;52.29;57.99;66.43;73.33;68.27;60.4;58.12;96.19;56.3;58.19;71.35
541495;56.25;80.74;66.66;58.21;96.34;66.01;69.79;140.05;70.4;99.41;90.04
541496;75.71;99.13;78.12;46.12;105.02;63.66;58.01;67.34;54.84;135.33;64.37
541497;89.91;111.2;95.77;94.64;143.57;75.75;97.18;160.97;87.62;144.83;106.03
541498;78.82;78.59;111.34;85.03;105.57;92.26;76.47;120.27;65.86;99.9;90.81
541499;111.62;158.95;121.44;140.49;176.41;114.67;119.54;163.85;146.0;224.69;164.55
541500;71.16;77.03;78.15;77.25;80.1;66.98;110.21;292.68;73.27;130.05;119.39
541501;68.29;85.71;70.2;72.53;76.0;63.06;82.77;155.83;80.59;76.35;104.55
541502;277.4;447.91;539.74;473.5;711.46;337.04;259.37;248.91;490.9;497.13;405.09
541503;226.1;286.87;298.51;204.77;268.85;187.38;176.58;277.68;254.42;348.33;226.17
541504;277.4;447.91;539.74;473.5;711.46;337.04;259.37;248.91;490.9;497.13;405.09
541505;63.24;68.39;71.23;71.94;70.94;64.89;94.38;239.14;68.07;107.06;107.48
541506;45.2;41.4;53.68;42.88;74.42;47.58;35.76;49.2;55.85;52.87;61.2
541507;205.1;264.68;297.83;180.59;256.62;165.75;149.02;320.03;231.61;289.77;220.0
541508;179.1;217.41;259.31;256.97;249.34;165.28;155.26;196.64;208.38;237.92;278.47
541509;205.1;264.68;297.83;180.59;256.62;165.75;149.02;320.03;231.61;289.77;220.0
541510;17.47;24.97;24.29;29.13;39.74;25.41;20.32;-13.91;31.26;38.46;30.71
541511;35.02;38.45;37.94;35.94;34.48;38.37;29.31;29.48;33.66;35.67;40.24
541512;60.56;79.53;75.29;101.74;96.84;76.56;95.5;150.78;118.82;73.89;117.38
541513;39.2;44.2;51.44;51.44;-6.41;38.67;32.95;13.92;52.63;53.09;40.05
541514;13.28;25.16;20.53;17.41;37.42;16.71;18.18;-7.0;36.59;28.43;21.03
541515;85.69;126.27;107.35;106.71;145.6;106.07;75.03;103.96;103.63;217.12;118.51
541516;82.65;99.57;87.97;93.47;86.77;86.51;106.7;137.76;106.54;75.33;128.58
541517;113.92;146.66;142.71;127.84;140.44;105.64;97.46;163.67;138.67;249.24;132.05
541518;63.24;68.39;71.23;71.94;70.94;64.89;94.38;239.14;68.07;107.06;107.48
541519;52.19;59.84;68.52;55.2;85.31;63.95;57.93;66.08;75.46;53.8;72.87
541520;77.33;109.31;122.63;93.69;127.84;95.13;89.04;142.62;162.16;94.11;112.22
541521;82.65;99.57;87.97;93.47;86.77;86.51;106.7;137.76;106.54;75.33;128.58
541522;17.47;24.97;24.29;29.13;39.74;25.41;20.32;-13.91;31.26;38.46;30.71
541523;44.1;44.74;51.35;52.05;1.01;40.59;33.26;15.54;50.09;55.79;52.83
541524;66.37;78.22;95.99;92.45;112.56;76.63;74.13;165.32;180.86;91.61;141.82
541525;205.45;376.06;318.78;329.66;304.11;210.1;312.67;416.36;304.76;481.71;459.57
541526;41.84;52.98;56.8;53.41;70.53;53.32;52.67;57.07;46.25;55.86;62.28
541527;58.45;62.85;81.85;59.98;112.95;72.18;55.57;77.56;86.12;71.64;80.91
541528;45.82;59.65;48.74;50.26;41.46;52.1;53.51;65.86;53.51;76.0;73.57
541529;45.98;48.66;67.72;51.33;61.58;51.03;36.65;41.48;84.6;59.69;67.83
541530;41.07;38.82;49.54;40.29;70.21;44.91;32.6;47.49;50.94;47.07;58.73
541531;245.42;431.34;367.86;323.16;381.82;250.66;336.68;444.88;330.74;629.1;502.89
541532;41.07;38.82;49.54;40.29;70.21;44.91;32.6;47.49;50.94;47.07;58.73
541533;116.02;155.2;148.67;133.17;137.37;111.53;117.71;165.53;147.46;276.15;131.42
541534;85.6;144.31;131.82;94.14;90.0;89.85;86.86;114.92;98.36;106.02;118.1
541535;52.31;65.98;59.1;64.99;67.48;65.61;66.28;85.85;60.3;68.18;80.5
541536;127.66;203.71;162.31;170.91;209.2;135.84;176.53;283.14;215.54;119.18;227.27
541537;60.73;91.19;83.6;80.25;76.08;81.97;99.14;101.24;104.77;75.29;118.43
541538;52.19;59.84;68.52;55.2;85.31;63.95;57.93;66.08;75.46;53.8;72.87
541539;55.41;69.7;65.77;75.91;93.26;73.61;77.04;134.59;95.11;66.21;105.16
541540;44.39;36.95;41.07;39.09;33.19;34.83;32.13;-11.52;54.22;42.18;38.87
541541;87.97;145.97;141.62;102.68;103.36;93.69;87.52;118.09;105.4;106.96;118.38
541542;213.76;312.16;328.58;225.23;353.43;259.79;226.72;236.51;234.71;369.09;359.31
541543;81.69;110.15;114.55;96.15;97.46;105.0;86.36;77.22;95.21;165.55;133.21
541544;118.68;172.95;131.57;206.27;132.72;134.59;99.47;170.77;173.26;253.09;200.87
541545;109.54;165.41;119.81;196.36;154.48;128.81;101.09;181.51;164.85;249.03;187.18
541546;52.37;65.57;73.02;63.92;91.29;62.72;55.69;28.69;107.78;79.45;94.89
541547;157.57;243.5;248.83;190.32;164.72;182.28;395.98;198.91;149.1;317.1;324.73
541548;121.1;148.87;123.69;136.5;148.86;152.23;99.01;128.76;104.49;150.2;159.42
541549;56.12;49.88;65.82;62.01;84.62;61.52;45.72;62.97;104.86;55.24;63.88
541550;92.04;110.32;101.61;113.02;98.59;83.05;99.34;156.98;83.88;110.48;114.69
541551;78.29;103.77;78.93;93.42;116.87;91.64;100.63;150.17;101.7;85.21;147.68
541552;39.09;35.42;35.54;32.68;26.76;31.75;32.29;-19.5;39.61;41.6;33.94
541553;75.36;76.07;98.27;88.63;96.58;76.58;73.04;169.94;89.73;105.47;96.79
541554;129.37;171.18;142.86;150.13;183.64;175.84;141.64;159.63;123.47;214.69;180.63
541555;68.29;85.71;70.2;72.53;76.0;63.06;82.77;155.83;80.59;76.35;104.55
541556;72.72;85.76;97.59;83.41;127.6;82.73;73.08;97.13;254.18;89.72;162.94
541557;81.13;87.69;109.23;99.0;108.76;89.25;83.62;183.26;99.74;117.17;105.69
541558;136.09;186.38;158.56;198.81;198.25;136.73;156.77;177.06;201.87;243.68;192.22
541559;54.35;73.82;60.98;92.8;78.66;58.79;73.05;37.08;178.54;108.3;127.76
541560;38.02;49.93;44.69;75.19;50.76;53.75;53.64;99.27;54.07;68.56;69.9
541561;36.8;46.19;45.91;49.66;38.17;49.17;42.11;45.82;62.49;51.33;61.95
541562;173.39;246.47;207.5;260.27;254.13;177.24;156.73;196.85;205.51;307.62;269.56
541563;86.74;114.05;101.25;116.73;141.93;112.53;115.16;155.3;117.02;126.03;111.59
541564;75.87;89.65;99.03;76.68;96.8;79.78;69.65;83.15;71.45;107.82;88.86
541565;145.0;176.9;197.05;153.81;241.15;137.74;156.59;296.91;142.96;183.6;216.86
541566;221.34;278.12;359.21;233.87;313.22;247.25;219.08;336.06;265.96;276.49;261.54
541567;207.5;277.62;260.61;200.69;191.31;179.74;142.93;281.98;239.55;317.21;254.66
541568;156.18;188.23;205.9;183.66;267.46;151.74;164.15;301.2;145.61;202.4;280.17
541569;51.81;54.72;55.19;62.0;80.62;56.28;43.21;-2.82;105.96;49.15;83.79
541570;102.38;135.98;127.09;149.26;109.74;111.33;118.22;174.87;139.36;184.59;176.43
541571;37.69;52.42;45.39;77.1;58.59;50.19;55.19;64.48;110.79;76.65;94.38
541572;52.31;65.98;59.1;64.99;67.48;65.61;66.28;85.85;60.3;68.18;80.5
541573;58.45;62.85;81.85;59.98;112.95;72.18;55.57;77.56;86.12;71.64;80.91
541574;30.03;40.54;41.82;36.34;50.53;44.0;38.64;48.37;44.49;50.27;48.3
541575;102.38;135.98;127.09;149.26;109.74;111.33;118.22;174.87;139.36;184.59;176.43
541576;96.89;119.13;120.53;127.97;188.52;91.76;79.5;103.75;156.08;247.3;184.87
541577;132.99;169.96;175.19;146.77;243.06;177.84;104.02;208.47;108.98;236.78;239.22
541578;63.32;71.44;62.49;58.46;88.09;67.54;63.11;61.93;79.22;74.65;73.15
541579;63.32;71.44;62.49;58.46;88.09;67.54;63.11;61.93;79.22;74.65;73.15
541580;35.08;44.84;40.06;49.46;48.38;44.37;40.54;32.02;66.5;54.2;50.74
541581;178.92;229.42;185.77;166.82;220.97;169.91;176.12;227.59;189.96;301.03;191.94
541582;58.86;57.44;71.36;72.94;76.43;63.56;76.06;62.26;59.33;73.81;83.98
541583;189.86;227.14;214.59;198.48;285.51;159.88;171.2;327.53;249.71;236.66;213.62
541584;204.03;250.54;258.73;266.7;269.42;165.62;168.44;331.22;262.3;261.35;311.12
541585;28.0;35.94;39.55;36.8;44.33;36.11;23.9;3.67;55.35;38.03;47.99
